Produkt;Geschlecht;Marke;Material;Anwendungsbereich;Druckart;Produktpreis;Versandkosten;EK-Preis;VK-Preis;Größen;Farben;Quelle
Premium T-Shirt;Unisex;Bella + Canvas;100% Airlume-Baumwolle;Alltag;DTG;10,36;3,55;13,91;20,17;S, M, L, XL, 2XL, 3XL, 4XL, 5XL;Weiß, Grau, Schwarz, Navy, Rot, Blau, Grün, Gelb, uvm.;Gelato
Heavyweight T-Shirt;Unisex;Gildan 5000;100% Baumwolle;Alltag;DTG, Stickerei;6,16;3,55;9,71;14,08;S, M, L, XL, 2XL, 3XL, 4XL, 5XL;Weiß, Schwarz, Rot, Blau, Grau, Pink, uvm.;Gelato
Klassisches T-Shirt;Unisex;Gildan 64000;100% Baumwolle;Alltag;DTG;6,16;3,55;9,71;14,08;S, M, L, XL, 2XL, 3XL;Weiß, Schwarz, Grau, Blau, Pink, uvm.;Gelato
Ultra Cotton T-Shirt;Unisex;Gildan 2000;100% Ultra Cotton;Alltag;DTG;13,21;3,55;16,76;24,3;S, M, L, XL, 2XL, 3XL, 4XL, 5XL;Weiß, Grau, Rot, Blau, Dunkelblau, uvm.;Gelato
Enganliegendes T-Shirt;Herren;Next Level 3600;100% gekämmte, ringgesponnene Baumwolle;Alltag;DTG;19,01;3,55;22,56;32,71;S, M, L, XL, 2XL, 3XL;Breite Farbpalette, z. B. Senfgelb, Schwarz, Weiß, Blau, uvm.;Gelato
Performance T-Shirt;Unisex;Sports T-Shirt (Gildan Style);100% Polyester;Sport;DTG, Sublimation;10,07;3,55;13,62;19,75;S, M, L, XL, 2XL;Schwarz, Weiß, Blau, Rot, Grau, uvm.;Gelato
Polycotton T-Shirt;Unisex;Jerzees 29M;50% Baumwolle / 50% Polyester;Alltag;DTG;12,32;3,55;15,87;23,01;S, M, L, XL, 2XL, 3XL;Große Farbvielfalt: Weiß, Blau, Pink, Schwarz, Grau, uvm.;Gelato
V-Ausschnitt T-Shirt;Unisex;Bella + Canvas 3005;100% Airlume-Baumwolle;Alltag;DTG;14,51;3,55;18,06;26,19;S, M, L, XL, 2XL;Breite Auswahl: Weiß, Schwarz, Dunkelrot, Blau, uvm.;Gelato
Triblend T-Shirt;Unisex;Bella + Canvas 3413;50% Polyester, 25% Baumwolle, 25% Viskose;Alltag;DTG;18,33;3,55;21,88;31,73;XS, S, M, L, XL, 2XL;Triblend-Farben wie Grau, Schwarz, Blau, Bordeaux, uvm.;Gelato
Ringer T-Shirt;Unisex;Bella + Canvas 980;100% Baumwolle;Alltag;DTG;12,43;3,55;15,98;23,17;S, M, L, XL, 2XL;Weiß mit farbigen Rändern (Rot, Schwarz, Blau, etc.);Gelato
Oversized T-Shirt;Unisex;SOL'S Legacy 03990;100% Baumwolle;Casual / Streetwear;DTG;15,77;3,55;19,32;28,01;S, M, L, XL, 2XL;Weiß, Beige, Grau, Schwarz, uvm.;Gelato
Bio-Baumwolle T-Shirt;Unisex;SOL'S Legend 03981;100% Bio-Baumwolle (Umstellung);Alltag;DTG;11,23;3,55;14,78;21,43;XXS, XS, S, M, L, XL, 2XL, 3XL;Große Farbpalette: z. B. Weiß, Hellgrün, Grau, Navy, uvm.;Gelato
T-Shirt aus recycelter Mischfaser;Unisex;SOL'S RE Crusader 04223;50% Baumwolle, 50% recyceltes Polyester;Alltag;DTG;10,16;3,55;13,71;19,88;XS, S, M, L, XL, 2XL, 3XL;Schwarz, Weiß, Navy, Rot, Blau, uvm.;Gelato
Bio-T-Shirt Herren;Herren;SOL'S Pioneer Men 03595;100% Bio-Baumwolle;Alltag;DTG;11,22;3,55;14,77;21,42;S, M, L, XL, 2XL, 3XL;Große Farbauswahl: Schwarz, Rot, Blau, Weiß, uvm.;Gelato
T-Shirt mit bequemer Passform;Unisex;SOL'S Tuner 04203;100% Baumwolle;Alltag;DTG;10;3,55;13,55;19,65;XS, S, M, L, XL, 2XL, 3XL;Schwarz, Grau, Weiß, Blau, uvm.;Gelato
Premium Damen-T-Shirt;Damen;Bella + Canvas 6004;100% Airlume-Baumwolle;Alltag;DTG;11,99;3,55;15,54;22,53;S, M, L, XL, 2XL;Weiß, Schwarz, Blau, Pink, Mint, uvm.;Gelato
Heavyweight T-Shirt;Unisex;Gildan 5000;100% Baumwolle (schwere Qualität);Alltag;DTG, Stickerei;6,1;3,55;9,65;13,99;S, M, L, XL, 2XL, 3XL, 4XL, 5XL;Weiß, Schwarz, Blau, Pink, Dunkelrot, uvm.;Gelato
Klassisches Damen-T-Shirt;Damen;Gildan 64000L;100% Baumwolle;Alltag;DTG;9,22;3,55;12,77;18,52;S, M, L, XL, 2XL;Weiß, Navy, Schwarz, Rot, Grau, uvm.;Gelato
Premium Unisex T-Shirt;Unisex;Bella + Canvas 3001;100% Airlume-Baumwolle;Alltag;DTG;10,36;3,55;13,91;20,17;S, M, L, XL, 2XL, 3XL, 4XL;Breite Farbpalette: Weiß, Schwarz, Natur, Rosa, Mint, uvm.;Gelato
Klassisches Unisex T-Shirt;Unisex;Gildan 64000;100% Baumwolle;Alltag;DTG;6,16;3,55;9,71;14,08;S, M, L, XL, 2XL, 3XL;Schwarz, Weiß, Blau, Orange, Violett, uvm.;Gelato
Danke-Extra: Premium Damen-T-Shirt;Damen;Bella + Canvas 6004;100% Airlume-Baumwolle;Alltag;DTG;11,99;3,55;15,54;22,53;S, M, L, XL, 2XL;Weiß, Schwarz, Mint, Pink, Natur, uvm.;Gelato
Ultra Cotton T-Shirt;Unisex;Gildan 2000;100% Baumwolle (Ultra Cotton);Alltag;DTG;13,21;3,55;16,76;24,3;S, M, L, XL, 2XL, 3XL, 4XL, 5XL;Weiß, Blau, Gelb, Rot, Schwarz, uvm.;Gelato
Performance T-Shirt;Unisex;Sports T-Shirt (Typ ST380, Just Cool);100% Polyester;Sport;DTG, Stickerei;10,07;3,55;13,62;19,75;S, M, L, XL, 2XL, 3XL;Weiß, Schwarz, Grau, Navy, uvm.;Gelato
Polycotton T-Shirt;Unisex;Jerzees 29M / Just Cool JC110;50% Baumwolle / 50% Polyester;Alltag;DTG;12,32;3,55;15,87;23,01;S, M, L, XL, 2XL, 3XL;Weiß, Blau, Schwarz, Rot, uvm.;Gelato
Premium V-Ausschnitt T-Shirt;Unisex;Bella + Canvas 3005;52% Baumwolle / 48% Polyester (versch. Farben);Alltag;DTG;14,51;3,55;18,06;26,19;S, M, L, XL, 2XL, 3XL;Schwarz, Weiß, Grau, Dunkelrot, uvm.;Gelato
Triblend T-Shirt;Unisex;Bella + Canvas 3413;50% Polyester / 25% Baumwolle / 25% Viskose;Alltag;DTG, Stickerei;18,33;3,55;21,88;31,73;XS, S, M, L, XL, 2XL, 3XL;Triblend: Grau, Schwarz, Rot, Blau, uvm.;Gelato
